file_id,view_url,download_url
147OjMgQYbODuScMBeS37b8w8nAibmZsT,https://drive.google.com/uc?export=view&id=147OjMgQYbODuScMBeS37b8w8nAibmZsT,https://drive.google.com/uc?export=download&id=147OjMgQYbODuScMBeS37b8w8nAibmZsT
148BszoO7sfoJGQEC3VF0i-YogTOp8MvC,https://drive.google.com/uc?export=view&id=148BszoO7sfoJGQEC3VF0i-YogTOp8MvC,https://drive.google.com/uc?export=download&id=148BszoO7sfoJGQEC3VF0i-YogTOp8MvC
14BwPUTc9va7PPrNFpa5j8rqM74K9A8So,https://drive.google.com/uc?export=view&id=14BwPUTc9va7PPrNFpa5j8rqM74K9A8So,https://drive.google.com/uc?export=download&id=14BwPUTc9va7PPrNFpa5j8rqM74K9A8So
14DpdFRSgOXwjF7XoBT0hJ6-v7hGgDzsG,https://drive.google.com/uc?export=view&id=14DpdFRSgOXwjF7XoBT0hJ6-v7hGgDzsG,https://drive.google.com/uc?export=download&id=14DpdFRSgOXwjF7XoBT0hJ6-v7hGgDzsG
14F57MkrrtC5xIbGNS3nTN36J83ak_1sZ,https://drive.google.com/uc?export=view&id=14F57MkrrtC5xIbGNS3nTN36J83ak_1sZ,https://drive.google.com/uc?export=download&id=14F57MkrrtC5xIbGNS3nTN36J83ak_1sZ
14iudAEOjhV0fnfC1XTxGBHfsDaHgnjBU,https://drive.google.com/uc?export=view&id=14iudAEOjhV0fnfC1XTxGBHfsDaHgnjBU,https://drive.google.com/uc?export=download&id=14iudAEOjhV0fnfC1XTxGBHfsDaHgnjBU
14oLzedJo9RlQssnl7sMohyrywT16vZmh,https://drive.google.com/uc?export=view&id=14oLzedJo9RlQssnl7sMohyrywT16vZmh,https://drive.google.com/uc?export=download&id=14oLzedJo9RlQssnl7sMohyrywT16vZmh
14oqVk9qQKMB8Sp5wlP87GT3B1JjWGJoB,https://drive.google.com/uc?export=view&id=14oqVk9qQKMB8Sp5wlP87GT3B1JjWGJoB,https://drive.google.com/uc?export=download&id=14oqVk9qQKMB8Sp5wlP87GT3B1JjWGJoB
1511QX249jIXBm3NBsQK9Wg6ijYuOnHUj,https://drive.google.com/uc?export=view&id=1511QX249jIXBm3NBsQK9Wg6ijYuOnHUj,https://drive.google.com/uc?export=download&id=1511QX249jIXBm3NBsQK9Wg6ijYuOnHUj
159_3EKuJkWz5TKYtLjgLBUurA0xDvMZi,https://drive.google.com/uc?export=view&id=159_3EKuJkWz5TKYtLjgLBUurA0xDvMZi,https://drive.google.com/uc?export=download&id=159_3EKuJkWz5TKYtLjgLBUurA0xDvMZi
